customer_id,tenure_months,contract_type,plan_type,monthly_charges,total_charges,payment_method,payment_delay_days,data_usage_gb,has_streaming_addon,num_support_tickets,last_login_days_ago,clv_estimated,churned
C-00001,6,Month-to-month,Basic,36.6,219.6,Bank transfer,3,0.62,1,4,62,86.36,1
C-00002,46,Two-year,Standard,58.64,2697.44,Credit card,1,3.48,1,1,22,1574.56,0
C-00003,36,One-year,Premium,89.95,3238.2,Credit card,2,25.59,0,0,7,2334.58,0
C-00004,18,One-year,Basic,38.95,701.1,Bank transfer,0,1.09,0,3,0,1456.26,0
C-00005,8,Month-to-month,Premium,113.03,904.24,Bank transfer,0,15.92,0,0,0,3155.13,0
C-00006,7,Month-to-month,Basic,39.65,277.55,Mailed check,10,1.43,0,0,19,121.4,1
C-00007,2,Month-to-month,Standard,62.31,124.62,Credit card,8,10.11,1,2,3,884.94,0
C-00008,33,Two-year,Premium,92.02,3036.66,Bank transfer,0,18.47,1,0,7,5583.25,0
C-00009,23,One-year,Basic,25.62,589.26,Electronic check,1,1.42,0,0,1,397.18,0
C-00010,26,One-year,Standard,61.58,1601.08,Electronic check,3,13.1,0,2,8,1394.19,0
C-00011,20,Month-to-month,Basic,39.62,792.4,Mailed check,21,1.17,0,3,103,71.05,1
C-00012,42,Two-year,Standard,60.67,2548.14,Electronic check,2,4.35,0,1,4,3187.56,0
C-00013,53,Two-year,Standard,67.04,3553.12,Mailed check,14,2.8,0,1,5,2560.11,0
C-00014,12,Month-to-month,Standard,53.23,638.76,Credit card,2,27.91,1,0,1,914.04,0
C-00015,2,Month-to-month,Basic,28.14,56.28,Bank transfer,3,0.42,0,2,45,86.96,1
C-00016,11,Month-to-month,Basic,38.13,419.43,Credit card,3,2.62,0,1,7,417.53,0
C-00017,3,Month-to-month,Basic,35.14,105.42,Credit card,3,0.88,0,1,38,35.05,1
C-00018,21,One-year,Basic,39.63,832.23,Credit card,5,2.17,0,1,27,938.42,0
C-00019,21,Month-to-month,Standard,64.37,1351.77,Credit card,3,2.64,0,1,29,251.7,1
C-00020,3,Month-to-month,Premium,95.18,285.54,Credit card,10,2.77,1,0,15,222.28,1
C-00021,25,One-year,Standard,58.28,1457.0,Credit card,3,3.8,1,0,12,1348.48,0
C-00022,10,Month-to-month,Standard,67.51,675.1,Credit card,5,3.26,1,2,45,184.68,1
C-00023,6,Month-to-month,Premium,99.82,598.92,Mailed check,2,50.68,1,2,1,697.0,0
C-00024,4,Month-to-month,Standard,51.38,205.52,Credit card,2,2.52,1,2,34,97.38,1
